PIN,Angle between B and C,Angle between B and E,Angle between B and F,Angle between C and E,Angle between C and F,Angle between the projections of B and C on the z=0 plane,Angle between the projections of B and F on the z=0 plane,Angle between the projections of C and E on the z=0 plane,Angle of B strand vector to x axis,Angle of B strand vector to y axis,Angle of B strand vector to z axis,Angle of C strand vector to x axis,Angle of C strand vector to y axis,Angle of C strand vector to z axis,Angle of E strand vector to x axis,Angle of E strand vector to y axis,Angle of E strand vector to z axis,Angle of F strand vector to x axis,Angle of F strand vector to y axis,Angle of F strand vector to z axis,Distance of Center of Mass of B from plane,Distance of Center of Mass of C from plane,Distance of Center of Mass of E from plane,Distance of Center of Mass of F from plane
1AKJ_D_2_to_111,2.240278853468905,2.851127235883989,0.3506191618410969,0.7380248528122856,2.5040280221796065,2.3186364118012244,0.350027927471238,0.7552099728752656,2.761763313653862,1.2018083150824823,1.6568112483224036,2.761763313653862,1.2018083150824823,1.6568112483224036,0.3592262156143924,1.8674684562331856,1.7673152355203303,3.010849669656106,1.5505707953668872,1.6999476731987937,4.811846239668027,5.583731838481675,3.795462900569349,4.482856915451856
1B88_A_3_to_114,2.394489267739303,2.779716695282598,0.4362402892818054,0.5072682062096646,2.756253447429676,2.509156401972613,0.4322189674338371,0.5172278653971201,1.4399758937729112,2.9451009940883486,1.716563705749015,1.4399758937729112,2.9451009940883486,1.716563705749015,1.8133286396512545,0.3153165340843803,1.768279441012229,1.0078850920444506,2.573314610661128,1.640541473572193,5.357785573541347,5.487144500623007,4.812132714322517,4.2660040987732595
1AHW_C_112_to_211,2.2939567492189488,2.648857158189996,0.7754029593452231,0.4133269001540024,2.776124755107834,2.39195800089557,0.7913432707023281,0.4169034916394668,0.4660672203517875,1.9722194018213823,1.7946298281081556,0.4660672203517875,1.9722194018213823,1.7946298281081556,2.9793342703750207,1.4920167341178456,1.7123506428580244,0.4182333468915072,1.1982757317160204,1.752023038250402,4.836892131850012,5.01664683697665,3.952164124731568,5.495603550313299
1BIH_A_6_to_98,2.3484562765562336,2.971735384997135,0.4782137818895137,0.6264940594261934,2.7281686050066893,2.510473264283645,0.4858537829002372,0.5094108993242835,1.8606539255733328,2.695286580233174,1.9001685892829712,1.8606539255733328,2.695286580233174,1.9001685892829712,1.389637063066165,0.2764514526286857,1.3643028043992225,1.3963473774067876,2.855000115271749,1.795818413171386,6.2571973389820315,4.698503419532847,5.465446272499378,4.222852005593972
1AXI_B_34_to_124,2.5890681068972476,2.913266023033058,0.5120484996969724,0.3826503364252225,2.754250484758517,2.7344028349082445,0.5232357588515065,0.3518540952397685,1.3410192474277147,0.3127848092853523,1.7792083432787866,1.3410192474277147,0.3127848092853523,1.7792083432787866,1.7503985757857905,2.9614952560263914,1.5839985617968615,1.853054753041771,0.3503805833146916,1.7727855585121328,5.479951466274275,5.524947732783358,4.79366904228271,5.43703041573583
1AXI_B_133_to_232,2.5203155721844164,2.6949779978233046,0.6100665118694746,0.1750096555545832,2.7901582307715156,2.631958461875543,0.6185433138613969,0.1387929826560737,1.404387805265115,2.894987601021807,1.751087089956838,1.404387805265115,2.894987601021807,1.751087089956838,2.1093094027589,0.5441919059977037,1.6416771530217933,0.7950996011772183,2.3419597537005004,1.7261251969796296,5.124355260524498,5.056042778119337,3.3844229313037095,5.4627263468478935
1BIH_A_211_to_307,2.379496047398526,3.0614016131559816,0.346593808001625,0.7024934126072603,2.6990787878202784,2.661635991660672,0.283765462373397,0.4836588666681961,1.7268738488578608,0.2418820640356572,1.7540613722706009,1.7268738488578608,0.2418820640356572,1.7540613722706009,1.4165713406140632,2.955586300137515,1.467638606007585,2.01324467935772,0.4428583342367066,1.5529804870533346,4.75406676090763,4.922303007023462,2.8644573731913403,4.477803295245589
1B4L_A_1_to_152,2.179427495115193,2.9124890885630204,0.7913611906281772,0.800650941971476,2.6843086311470703,2.2334949056850406,0.7984988824305177,0.7982908830721246,1.3885053480743883,2.9162689689639176,1.701760520214549,1.3885053480743883,2.9162689689639176,1.701760520214549,1.8637409731389991,0.3017363452917134,1.641035531194435,0.6313183702785541,2.139626232334672,1.8144619490904537,5.974699257657259,5.010198416232418,5.529345067205794,4.264871498812023
1BD2_D_1_to_116,2.321913888483416,2.7945708696274427,0.4769411776426087,0.8051870767324089,2.732995574127327,2.45231494556193,0.4672135851032332,0.8162999379779587,1.6367687521706504,0.1792546019382331,1.7372242756840497,1.6367687521706504,0.1792546019382331,1.7372242756840497,1.6301826259007477,2.9738151196490077,1.727525543016336,2.1039751416391748,0.5367732569488766,1.6269770727518744,4.753176010718693,5.623081425435966,4.247017481114784,4.602153017990989
1A9E_B_4_to_96,2.623983292548808,2.872954591238692,0.2998571143058585,0.3241045216339218,2.8606102667764577,2.79760532622847,0.2772482163054275,0.3059735762087157,1.5978530701184055,0.1315374591520277,1.6994893224172003,1.5978530701184055,0.1315374591520277,1.6994893224172003,1.5061151431597029,2.9896830631139952,1.708054299729783,1.8753027189055624,0.3047758560371408,1.5832147193748587,5.07711136762154,4.325321142589129,5.007547199045019,4.740958524641888
3UMN_A_435_to_547,2.4459045907110544,2.847651623570653,0.7775050669403853,0.8713671485416838,2.8238456497946047,2.471780536375163,0.7740505958408781,0.8839219547169324,0.9141118022854864,2.4835646640707414,1.606854845377686,0.9141118022854864,2.4835646640707414,1.606854845377686,2.007343166432649,0.4712809660364941,1.7370018586676086,0.1972789462706844,1.7089839405655542,1.7106871622207211,4.795334053691606,6.01949784755757,6.975890107254768,5.788003600268074
3MXV_L_111_to_211,2.554453696605498,2.8021803794448576,0.38048873047913,0.3957016426084034,2.869007273245069,2.7502745395762673,0.3440634305397004,0.3868915542748889,1.5143017766261742,2.8913236879462003,1.8143387896657936,1.5143017766261742,2.8913236879462003,1.8143387896657936,1.6331493592470203,0.1144439859334328,1.666637709436945,1.1696018795525638,2.733371007903696,1.6421790038458997,5.729260137601886,4.613698514011159,4.989607730963694,4.405863714803236
7A5S_L_117_to_217,2.5037040390186993,2.8443243820014352,0.4535698171484977,0.407946068893569,2.875743986558647,2.6312941876245604,0.4366133143806324,0.3979847580084316,0.8842276407678678,0.7145003729868028,1.7374789663908938,0.8842276407678678,0.7145003729868028,1.7374789663908938,2.152712754736109,2.546925120711,1.6795127456217298,1.3094311622004566,0.2638079663052557,1.6057995984878242,5.357264171037127,4.8796470570476576,5.079087049913028,5.037394330414987
4BCY_A_1_to_152,2.197611077797895,2.919701201271316,0.8171288311911934,0.7794338245231833,2.6812825634547006,2.2627913077652293,0.8262850915890666,0.7708434809774124,1.824257835247163,2.853245025001964,1.7053160336558095,1.824257835247163,2.853245025001964,1.7053160336558095,1.423193852225239,0.1592977706809608,1.6302715131604903,1.017547485314837,2.530374534696279,1.803586632589552,6.35866572017494,5.126079108285935,5.11391019583386,4.619024642066802
